Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,City,State,Postal Code,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit
866,CA-2014-149020,1/10/2014,1/15/2014,Standard Class,AJ-10780,Anthony Jacobs,Corporate,United States,Springfield,Virginia,22153,South,OFF-LA-10004272,Office Supplies,Labels,Avery 482,2.89,1,0,1.36
919,CA-2016-165218,3/5/2016,3/11/2016,Standard Class,RW-19630,Rob Williams,Corporate,United States,Dallas,Texas,75220,Central,OFF-EN-10000056,Office Supplies,Envelopes,Cameo Buff Policy Envelopes,149.35,3,0.2,50.41
971,CA-2014-115791,1/16/2014,1/18/2014,Second Class,DL-13315,Delfina Latchford,Consumer,United States,Philadelphia,Pennsylvania,19134,East,FUR-FU-10001095,Furniture,Furnishings,DAX Black Cherry Wood-Tone Poster Frame,127.10,6,0.2,28.6
989,CA-2017-167899,5/21/2017,5/26/2017,Standard Class,JG-15805,John Grady,Corporate,United States,Auburn,New York,13021,East,FUR-FU-10004071,Furniture,Furnishings,Luxo Professional Magnifying Clamp-On Fluorescent Lamps,520.05,5,0,72.81
997,CA-2015-162537,10/28/2015,11/3/2015,Standard Class,RD-19585,Rob Dowd,Consumer,United States,Henderson,Kentucky,42420,South,OFF-EN-10003862,Office Supplies,Envelopes,Laser & Ink Jet Business Envelopes,10.67,1,0,4.91
1007,CA-2015-105312,11/6/2015,11/9/2015,First Class,MT-17815,Meg Tillman,Consumer,United States,Scottsdale,Arizona,85254,West,OFF-EN-10002600,Office Supplies,Envelopes,"Redi-Strip #10 Envelopes, 4 1/8 x 9 1/2",7.08,3,0.2,2.48
1243,US-2016-162859,2/15/2016,2/22/2016,Standard Class,PG-18820,Patrick Gardner,Consumer,United States,New York City,New York,10009,East,OFF-BI-10004519,Office Supplies,Binders,GBC DocuBind P100 Manual Binding Machine,398.35,3,0.2,124.49
1333,CA-2014-122567,2/16/2014,2/21/2014,Standard Class,MN-17935,Michael Nguyen,Consumer,United States,Dallas,Texas,75220,Central,OFF-BI-10002012,Office Supplies,Binders,Wilson Jones Easy Flow II Sheet Lifters,1.08,3,0.8,-1.73
1412,CA-2016-136329,7/9/2016,7/13/2016,Standard Class,JD-15895,Jonathan Doherty,Corporate,United States,New York City,New York,10035,East,FUR-CH-10002335,Furniture,Chairs,Hon GuestStacker Chair,408.01,2,0.1,72.53
1440,CA-2017-122735,4/12/2017,4/15/2017,Second Class,BD-11320,Bill Donatelli,Consumer,United States,Providence,Rhode Island,2908,East,OFF-BI-10004364,Office Supplies,Binders,Storex Dura Pro Binders,29.70,5,0,13.37
1505,CA-2015-153388,8/1/2015,8/7/2015,Standard Class,PC-19000,Pauline Chand,Home Office,United States,Los Angeles,California,90004,West,OFF-AR-10001868,Office Supplies,Art,Prang Dustless Chalk Sticks,6.72,4,0,3.36
1518,CA-2014-111059,2/3/2014,2/6/2014,Second Class,TB-21400,Tom Boeckenhauer,Consumer,United States,Seattle,Washington,98105,West,OFF-BI-10004593,Office Supplies,Binders,Ibico Laser Imprintable Binding System Covers,83.84,2,0.2,27.25
1677,CA-2016-122728,5/18/2016,5/24/2016,Standard Class,EB-13930,Eric Barreto,Consumer,United States,San Francisco,California,94110,West,OFF-ST-10000604,Office Supplies,Storage,Home/Office Personal File Carts,104.28,3,0,26.07
2037,CA-2015-119214,1/23/2015,1/27/2015,Standard Class,CW-11905,Carl Weiss,Home Office,United States,Bozeman,Montana,59715,West,OFF-PA-10002893,Office Supplies,Paper,"Wirebound Service Call Books, 5 1/2"" x 4""",29.04,3,0,13.94
2180,CA-2016-128818,5/7/2016,5/11/2016,Standard Class,CJ-12010,Caroline Jumper,Consumer,United States,New York City,New York,10009,East,OFF-BI-10000309,Office Supplies,Binders,"GBC Twin Loop Wire Binding Elements, 9/16"" Spine, Black",85.23,7,0.2,30.9
2219,CA-2017-130841,7/28/2017,8/1/2017,Standard Class,MH-17620,Matt Hagelstein,Corporate,United States,San Francisco,California,94110,West,OFF-BI-10000145,Office Supplies,Binders,Zipper Ring Binder Pockets,9.98,4,0.2,3.62
2273,CA-2015-142944,3/6/2015,3/11/2015,Standard Class,JL-15850,John Lucas,Consumer,United States,San Francisco,California,94122,West,FUR-FU-10000308,Furniture,Furnishings,Deflect-o Glass Clear Studded Chair Mats,435.26,7,0,95.76
2277,CA-2014-104283,6/27/2014,7/1/2014,Standard Class,LM-17065,Liz MacKendrick,Consumer,United States,Southaven,Mississippi,38671,South,OFF-ST-10004337,Office Supplies,Storage,"SAFCO Commercial Wire Shelving, 72h",306.20,5,0,0
2564,CA-2015-110632,3/17/2015,3/22/2015,Second Class,HR-14830,Harold Ryan,Corporate,United States,New York City,New York,10009,East,TEC-AC-10000387,Technology,Accessories,KeyTronic KT800P2 - Keyboard - Black,15.02,1,0,2.7
2570,CA-2017-134404,12/27/2017,12/27/2017,Same Day,DR-12880,Dan Reichenbach,Corporate,United States,Newark,Ohio,43055,East,TEC-PH-10000576,Technology,Phones,AT&T 1080 Corded phone,164.39,2,0.4,-35.62
2733,CA-2014-107594,7/2/2014,7/6/2014,Standard Class,EH-13945,Eric Hoffmann,Consumer,United States,Plainfield,New Jersey,7060,East,TEC-PH-10002923,Technology,Phones,"Logitech B530 USB Headset - headset - Full size, Binaural",73.98,2,0,19.97
2876,US-2016-167339,1/21/2016,1/23/2016,Second Class,TD-20995,Tamara Dahlen,Consumer,United States,San Diego,California,92037,West,FUR-CH-10004289,Furniture,Chairs,Global Super Steno Chair,153.57,2,0.2,-5.76
2919,CA-2016-160129,11/23/2016,11/23/2016,Same Day,LS-17200,Luke Schmidt,Corporate,United States,Philadelphia,Pennsylvania,19140,East,OFF-FA-10002763,Office Supplies,Fasteners,Advantus Map Pennant Flags and Round Head Tacks,15.80,5,0.2,2.37
2986,CA-2016-139269,5/25/2016,5/30/2016,Standard Class,JB-16045,Julia Barnett,Home Office,United States,Columbus,Georgia,31907,South,FUR-FU-10000755,Furniture,Furnishings,Eldon Expressions Mahogany Wood Desk Collection,24.96,4,0,6.24
3223,CA-2014-108189,10/2/2014,10/5/2014,First Class,ES-14080,Erin Smith,Corporate,United States,Tempe,Arizona,85281,West,OFF-PA-10001838,Office Supplies,Paper,"Adams Telephone Message Book W/Dividers/Space For Phone Numbers, 5 1/4""X8 1/2"", 300/Messages",9.41,2,0.2,3.41
3268,CA-2014-143840,5/22/2014,5/29/2014,Standard Class,EH-14185,Evan Henry,Consumer,United States,Decatur,Alabama,35601,South,TEC-PH-10002660,Technology,Phones,Nortel Networks T7316 E Nt8 B27,135.98,2,0,34
3270,CA-2014-115980,7/15/2014,7/19/2014,Standard Class,VW-21775,Victoria Wilson,Corporate,United States,Sioux Falls,South Dakota,57103,Central,TEC-AC-10003709,Technology,Accessories,Maxell 4.7GB DVD-R 5/Pack,2.97,3,0,1.31
3396,US-2017-148362,7/1/2017,7/8/2017,Standard Class,KF-16285,Karen Ferguson,Home Office,United States,Indianapolis,Indiana,46203,Central,OFF-ST-10001128,Office Supplies,Storage,"Carina Mini System Audio Rack, Model AR050B",443.92,4,0,13.32
3795,US-2014-117163,1/27/2014,2/2/2014,Standard Class,EJ-13720,Ed Jacobs,Consumer,United States,San Diego,California,92037,West,OFF-ST-10003692,Office Supplies,Storage,Recycled Steel Personal File for Hanging File Folders,57.23,1,0,14.31
3854,US-2017-131849,6/6/2017,6/10/2017,Standard Class,GH-14410,Gary Hansen,Home Office,United States,San Francisco,California,94122,West,FUR-FU-10004164,Furniture,Furnishings,"Eldon 300 Class Desk Accessories, Black",4.95,1,0,2.18
4075,CA-2017-108112,11/15/2017,11/20/2017,Standard Class,DK-12895,Dana Kaydos,Consumer,United States,Miramar,Florida,33023,South,FUR-FU-10003553,Furniture,Furnishings,"Howard Miller 13-1/2"" Diameter Rosebrook Wall Clock",220.06,4,0.2,55.02
4114,CA-2015-116687,5/2/2015,5/7/2015,Standard Class,NC-18625,Noah Childs,Corporate,United States,Houston,Texas,77095,Central,OFF-LA-10000443,Office Supplies,Labels,Avery 501,8.86,3,0.2,2.99
4298,CA-2017-129021,8/23/2017,8/26/2017,Second Class,PO-18850,Patrick O'Brill,Consumer,United States,Tallahassee,Florida,32303,South,TEC-PH-10001459,Technology,Phones,Samsung Galaxy Mega 6.3,4367.90,13,0.2,327.59
4305,CA-2014-162278,10/26/2014,10/30/2014,Second Class,AH-10585,Angele Hood,Consumer,United States,Seattle,Washington,98105,West,FUR-FU-10000448,Furniture,Furnishings,Tenex Chairmats For Use With Carpeted Floors,63.92,4,0,3.2
4398,US-2014-138758,7/7/2014,7/11/2014,Standard Class,JL-15835,John Lee,Consumer,United States,Philadelphia,Pennsylvania,19120,East,FUR-CH-10002880,Furniture,Chairs,"Global High-Back Leather Tilter, Burgundy",172.19,2,0.3,-46.74
4919,CA-2016-160304,1/2/2016,1/7/2016,Standard Class,BM-11575,Brendan Murry,Corporate,United States,Gaithersburg,Maryland,20877,East,FUR-BO-10004709,Furniture,Bookcases,"Bush Westfield Collection Bookcases, Medium Cherry Finish",173.94,3,0,38.27
5245,CA-2016-156265,8/2/2016,8/4/2016,Second Class,BF-11020,Barry Französisch,Corporate,United States,Los Angeles,California,90032,West,FUR-TA-10001691,Furniture,Tables,"Barricks Non-Folding Utility Table with Steel Legs, Laminate Tops",136.46,2,0.2,15.35
5388,CA-2017-164707,2/18/2017,2/21/2017,Second Class,CV-12805,Cynthia Voltz,Corporate,United States,Los Angeles,California,90045,West,TEC-PH-10001924,Technology,Phones,iHome FM Clock Radio with Lightning Dock,167.98,3,0.2,10.5
5463,CA-2014-146591,1/19/2014,1/20/2014,First Class,TS-21340,Toby Swindell,Consumer,United States,Scottsdale,Arizona,85254,West,OFF-BI-10003676,Office Supplies,Binders,"GBC Standard Recycled Report Covers, Clear Plastic Sheets",32.34,10,0.7,-23.72
5512,US-2014-137680,2/24/2014,3/2/2014,Standard Class,JH-15430,Jennifer Halladay,Consumer,United States,Medford,Oregon,97504,West,OFF-PA-10000174,Office Supplies,Paper,"Message Book, Wirebound, Four 5 1/2"" X 4"" Forms/Pg., 200 Dupl. Sets/Book",32.90,4,0.2,11.1
5687,CA-2014-131541,7/28/2014,7/28/2014,Same Day,CK-12205,Chloris Kastensmidt,Consumer,United States,Apopka,Florida,32712,South,OFF-FA-10000621,Office Supplies,Fasteners,"OIC Colored Binder Clips, Assorted Sizes",14.32,5,0.2,5.19
5769,CA-2015-154900,2/25/2015,3/1/2015,Standard Class,SS-20875,Sung Shariari,Consumer,United States,Leominster,Massachusetts,1453,East,OFF-LA-10001641,Office Supplies,Labels,Avery 518,3.15,1,0,1.51
5855,CA-2015-112214,8/5/2015,8/11/2015,Standard Class,AH-10690,Anna Häberlin,Corporate,United States,Dallas,Texas,75220,Central,OFF-ST-10001505,Office Supplies,Storage,"Perma STOR-ALL Hanging File Box, 13 1/8""W x 12 1/4""D x 10 1/2""H",33.49,7,0.2,-1.26
5886,US-2014-109456,10/16/2014,10/17/2014,Same Day,LS-17245,Lynn Smith,Consumer,United States,San Francisco,California,94110,West,OFF-BI-10000136,Office Supplies,Binders,Avery Non-Stick Heavy Duty View Round Locking Ring Binders,14.35,3,0.2,5.02
6009,CA-2015-135580,12/30/2015,1/3/2016,Standard Class,CL-12565,Clay Ludtke,Consumer,United States,Los Angeles,California,90049,West,OFF-PA-10000595,Office Supplies,Paper,Xerox 1929,68.52,3,0,31.52
6035,US-2015-155369,4/19/2015,4/25/2015,Standard Class,PG-18820,Patrick Gardner,Consumer,United States,Carrollton,Texas,75007,Central,OFF-AP-10002578,Office Supplies,Appliances,"Fellowes Premier Superior Surge Suppressor, 10-Outlet, With Phone and Remote",19.57,2,0.8,-52.83
6091,CA-2017-100111,9/20/2017,9/26/2017,Standard Class,SV-20365,Seth Vernon,Consumer,United States,New York City,New York,10035,East,FUR-CH-10003846,Furniture,Chairs,Hon Valutask Swivel Chairs,272.65,3,0.1,18.18
6158,CA-2016-104150,8/3/2016,8/5/2016,Second Class,AG-10330,Alex Grayson,Consumer,United States,Tulsa,Oklahoma,74133,Central,OFF-EN-10002504,Office Supplies,Envelopes,"Tyvek  Top-Opening Peel & Seel Envelopes, Plain White",81.54,3,0,38.32
6161,CA-2014-103989,3/19/2014,3/21/2014,First Class,MC-17605,Matt Connell,Corporate,United States,Lakeland,Florida,33801,South,TEC-PH-10004667,Technology,Phones,Cisco 8x8 Inc. 6753i IP Business Phone System,323.98,3,0.2,28.35
6173,US-2014-106299,8/2/2014,8/8/2014,Standard Class,NZ-18565,Nick Zandusky,Home Office,United States,Springfield,Missouri,65807,Central,OFF-BI-10001758,Office Supplies,Binders,Wilson Jones 14 Line Acrylic Coated Pressboard Data Binders,26.70,5,0,12.55
6293,CA-2015-151253,4/22/2015,4/26/2015,Standard Class,AZ-10750,Annie Zypern,Consumer,United States,Los Angeles,California,90008,West,TEC-PH-10002923,Technology,Phones,"Logitech B530 USB Headset - headset - Full size, Binaural",88.78,3,0.2,7.77
6325,CA-2015-110289,10/29/2015,11/2/2015,Standard Class,NB-18655,Nona Balk,Corporate,United States,San Francisco,California,94109,West,OFF-PA-10002986,Office Supplies,Paper,Xerox 1898,33.40,5,0,16.03
6343,CA-2015-146255,3/7/2015,3/10/2015,First Class,EM-14140,Eugene Moren,Home Office,United States,Newark,Delaware,19711,East,TEC-AC-10004469,Technology,Accessories,Microsoft Sculpt Comfort Mouse,119.85,3,0,52.73
6388,CA-2014-134103,1/30/2014,2/4/2014,Standard Class,MV-18190,Mike Vittorini,Consumer,United States,Detroit,Michigan,48234,Central,OFF-PA-10001204,Office Supplies,Paper,Xerox 1972,10.56,2,0,4.75
6390,CA-2015-147529,2/7/2015,2/11/2015,Standard Class,DK-12835,Damala Kotsonis,Corporate,United States,Springfield,Virginia,22153,South,OFF-EN-10000056,Office Supplies,Envelopes,Cameo Buff Policy Envelopes,311.15,5,0,146.24
6471,CA-2015-108532,8/29/2015,9/2/2015,Standard Class,CC-12100,Chad Cunningham,Home Office,United States,Detroit,Michigan,48234,Central,TEC-PH-10001750,Technology,Phones,Samsung Rugby III,131.98,2,0,35.63
6487,CA-2015-120621,3/21/2015,3/26/2015,Standard Class,JW-16075,Julia West,Consumer,United States,Jacksonville,North Carolina,28540,South,OFF-AP-10002945,Office Supplies,Appliances,Honeywell Enviracaire Portable HEPA Air Cleaner for 17' x 22' Room,962.08,4,0.2,156.34
6498,CA-2015-103135,7/24/2015,7/28/2015,Standard Class,SS-20515,Shirley Schmidt,Home Office,United States,Louisville,Kentucky,40214,South,FUR-FU-10001487,Furniture,Furnishings,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",20.94,3,0,6.07
6530,CA-2014-103744,2/23/2014,2/27/2014,Standard Class,MG-17875,Michael Grace,Home Office,United States,El Paso,Texas,79907,Central,OFF-LA-10004425,Office Supplies,Labels,Staple-on labels,6.94,3,0.2,2.34
6563,CA-2014-166086,5/7/2014,5/12/2014,Standard Class,CT-11995,Carol Triggs,Consumer,United States,Lawrence,Massachusetts,1841,East,OFF-BI-10001078,Office Supplies,Binders,"Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 14 7/8"" X 11""",16.14,3,0,7.91
6612,CA-2015-107678,4/21/2015,4/28/2015,Standard Class,JK-16090,Juliana Krohn,Consumer,United States,Louisville,Kentucky,40214,South,FUR-CH-10001891,Furniture,Chairs,Global Deluxe Office Fabric Chairs,191.96,2,0,51.83
6619,US-2017-167402,1/13/2017,1/18/2017,Second Class,CP-12085,Cathy Prescott,Corporate,United States,Springfield,Missouri,65807,Central,OFF-PA-10004983,Office Supplies,Paper,Xerox 23,32.40,5,0,15.55
6623,CA-2014-130449,9/6/2014,9/9/2014,First Class,VP-21760,Victoria Pisteka,Corporate,United States,San Francisco,California,94109,West,FUR-FU-10001487,Furniture,Furnishings,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",41.88,6,0,12.15
6625,CA-2015-141250,1/19/2015,1/23/2015,Standard Class,PM-18940,Paul MacIntyre,Consumer,United States,Texas City,Texas,77590,Central,FUR-TA-10002855,Furniture,Tables,Bevis Round Conference Table Top & Single Column Base,102.44,1,0.3,-13.17
6702,CA-2015-153535,5/20/2015,5/24/2015,Standard Class,SG-20470,Sheri Gordon,Consumer,United States,Wilson,North Carolina,27893,South,FUR-FU-10001986,Furniture,Furnishings,"Dana Fluorescent Magnifying Lamp, White, 36""",163.14,4,0.2,20.39
6899,US-2015-165512,5/24/2015,5/26/2015,Second Class,VS-21820,Vivek Sundaresam,Consumer,United States,Naperville,Illinois,60540,Central,FUR-CH-10002880,Furniture,Chairs,"Global High-Back Leather Tilter, Burgundy",602.65,7,0.3,-163.58
7091,CA-2015-119480,1/9/2015,1/13/2015,Standard Class,CC-12685,Craig Carroll,Consumer,United States,Henderson,Kentucky,42420,South,OFF-PA-10000474,Office Supplies,Paper,Easy-staple paper,106.32,3,0,49.97
7096,CA-2016-101980,8/19/2016,8/20/2016,First Class,RP-19390,Resi Pölking,Consumer,United States,New York City,New York,10009,East,OFF-BI-10000666,Office Supplies,Binders,Surelock Post Binders,146.69,6,0.2,55.01
7160,CA-2015-145835,5/13/2015,5/18/2015,Second Class,BF-11170,Ben Ferrer,Home Office,United States,Chicago,Illinois,60623,Central,TEC-PH-10004447,Technology,Phones,Toshiba IPT2010-SD IP Telephone,222.38,2,0.2,16.68
7164,CA-2014-122070,4/22/2014,4/24/2014,Second Class,AH-10030,Aaron Hawkins,Corporate,United States,Troy,New York,12180,East,OFF-EN-10004773,Office Supplies,Envelopes,Staple envelope,247.84,8,0,121.44
7194,CA-2016-110492,2/12/2016,2/14/2016,First Class,JS-15880,John Stevenson,Consumer,United States,Atlanta,Georgia,30318,South,OFF-ST-10003716,Office Supplies,Storage,Tennsco Double-Tier Lockers,1350.12,6,0,175.52
7267,CA-2017-122987,8/16/2017,8/16/2017,Same Day,SJ-20215,Sarah Jordon,Consumer,United States,Columbia,Tennessee,38401,South,OFF-BI-10002824,Office Supplies,Binders,Recycled Easel Ring Binders,13.43,3,0.7,-11.19
7269,CA-2016-133368,1/14/2016,1/20/2016,Standard Class,AG-10675,Anna Gayman,Consumer,United States,Concord,North Carolina,28027,South,OFF-PA-10004039,Office Supplies,Paper,Xerox 1882,89.57,2,0.2,32.47
7380,CA-2016-105732,9/13/2016,9/18/2016,Standard Class,AG-10270,Alejandro Grove,Consumer,United States,Omaha,Nebraska,68104,Central,OFF-ST-10000419,Office Supplies,Storage,"Rogers Jumbo File, Granite",40.74,3,0,0.41
7390,CA-2017-108035,11/29/2017,12/3/2017,Standard Class,TT-21070,Ted Trevino,Consumer,United States,Chattanooga,Tennessee,37421,South,FUR-CH-10000454,Furniture,Chairs,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",390.37,2,0.2,48.8
7551,CA-2014-140396,11/20/2014,11/25/2014,Standard Class,KH-16330,Katharine Harms,Corporate,United States,New York City,New York,10024,East,OFF-EN-10002592,Office Supplies,Envelopes,"Peel & Seel Recycled Catalog Envelopes, Brown",34.74,3,0,17.37
7657,US-2014-120740,4/15/2014,4/15/2014,Same Day,PS-18970,Paul Stevenson,Home Office,United States,Los Angeles,California,90049,West,OFF-AP-10000240,Office Supplies,Appliances,Belkin F9G930V10-GRY 9 Outlet Surge,106.96,2,0,31.02
7661,CA-2014-105417,1/7/2014,1/12/2014,Standard Class,VS-21820,Vivek Sundaresam,Consumer,United States,Huntsville,Texas,77340,Central,FUR-FU-10004864,Furniture,Furnishings,"Howard Miller 14-1/2"" Diameter Chrome Round Wall Clock",76.73,3,0.6,-53.71
7696,CA-2017-107958,7/2/2017,7/5/2017,First Class,AH-10120,Adrian Hane,Home Office,United States,Houston,Texas,77036,Central,OFF-PA-10000357,Office Supplies,Paper,"White Dual Perf Computer Printout Paper, 2700 Sheets, 1 Part, Heavyweight, 20 lbs., 14 7/8 x 11",163.96,5,0.2,59.44
7717,CA-2015-149636,1/6/2015,1/12/2015,Standard Class,SP-20620,Stefania Perrino,Corporate,United States,Colorado Springs,Colorado,80906,West,OFF-PA-10004041,Office Supplies,Paper,"It's Hot Message Books with Stickers, 2 3/4"" x 5""",29.60,5,0.2,9.25
7864,CA-2015-143364,7/14/2015,7/19/2015,Second Class,TG-21310,Toby Gnade,Consumer,United States,Mesa,Arizona,85204,West,OFF-ST-10002743,Office Supplies,Storage,SAFCO Boltless Steel Shelving,272.74,3,0.2,-64.77
7978,CA-2014-166051,5/31/2014,6/5/2014,Standard Class,JK-15625,Jim Karlsson,Consumer,United States,Jackson,Mississippi,39212,South,TEC-PH-10002680,Technology,Phones,Samsung Galaxy Note 3,659.97,3,0,197.99
8102,CA-2015-149846,5/22/2015,5/26/2015,Standard Class,SB-20185,Sarah Brown,Consumer,United States,Los Angeles,California,90045,West,OFF-LA-10004484,Office Supplies,Labels,Avery 476,8.26,2,0,3.8
8302,US-2017-167318,7/26/2017,8/1/2017,Standard Class,GZ-14545,George Zrebassa,Corporate,United States,Los Angeles,California,90036,West,TEC-AC-10003870,Technology,Accessories,Logitech Z-906 Speaker sys - home theater - 5.1-CH,1649.95,5,0,659.98
8306,CA-2016-128671,8/11/2016,8/16/2016,Standard Class,MT-18070,Michelle Tran,Home Office,United States,Tulsa,Oklahoma,74133,Central,OFF-PA-10001870,Office Supplies,Paper,Xerox 202,32.40,5,0,15.55
8461,CA-2014-146500,8/30/2014,9/4/2014,Standard Class,AT-10735,Annie Thurman,Consumer,United States,Bristol,Connecticut,6010,East,OFF-BI-10002432,Office Supplies,Binders,Wilson Jones Standard D-Ring Binders,25.30,5,0,11.89
8497,CA-2014-169061,3/5/2014,3/8/2014,Second Class,AB-10150,Aimee Bixby,Consumer,United States,Yonkers,New York,10701,East,OFF-AR-10000588,Office Supplies,Art,Newell 345,59.52,3,0,15.48
8545,CA-2016-119074,3/27/2016,3/31/2016,Standard Class,DS-13180,David Smith,Corporate,United States,Columbus,Georgia,31907,South,FUR-FU-10004053,Furniture,Furnishings,DAX Two-Tone Silver Metal Document Frame,20.24,1,0,8.7
8774,CA-2015-132276,2/23/2015,2/28/2015,Standard Class,LC-16960,Lindsay Castell,Home Office,United States,New York City,New York,10024,East,OFF-AP-10000804,Office Supplies,Appliances,Hoover Portapower Portable Vacuum,26.88,6,0,6.72
8842,US-2016-112396,2/9/2016,2/13/2016,Standard Class,JR-16210,Justin Ritter,Corporate,United States,San Francisco,California,94110,West,TEC-AC-10003628,Technology,Accessories,Logitech 910-002974 M325 Wireless Mouse for Web Scrolling,89.97,3,0,39.59
9314,CA-2015-111948,11/11/2015,11/11/2015,Same Day,AG-10495,Andrew Gjertsen,Corporate,United States,Detroit,Michigan,48234,Central,OFF-ST-10003282,Office Supplies,Storage,"Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers",418.32,7,0,117.13
9418,CA-2014-148285,10/27/2014,11/1/2014,Standard Class,RD-19810,Ross DeVincentis,Home Office,United States,Fayetteville,North Carolina,28314,South,OFF-PA-10001166,Office Supplies,Paper,Xerox 2,10.37,2,0.2,3.63
9751,CA-2016-113390,10/11/2016,10/15/2016,Standard Class,EP-13915,Emily Phan,Consumer,United States,Chicago,Illinois,60610,Central,OFF-AR-10003183,Office Supplies,Art,Avery Fluorescent Highlighter Four-Color Set,5.34,2,0.2,0.67
9766,CA-2017-101959,2/28/2017,3/6/2017,Standard Class,DB-13660,Duane Benoit,Consumer,United States,Middletown,Connecticut,6457,East,OFF-BI-10001757,Office Supplies,Binders,Pressboard Hanging Data Binders for Unburst Sheets,9.84,2,0,4.72
9884,CA-2014-112291,4/3/2014,4/8/2014,Standard Class,KE-16420,Katrina Edelman,Corporate,United States,Los Angeles,California,90008,West,OFF-EN-10001415,Office Supplies,Envelopes,Staple envelope,11.16,2,0,5.58
161,CA-2016-162733,5/11/2016,5/12/2016,First Class,TT-21070,Ted Trevino,Consumer,United States,Los Angeles,California,90045,West,OFF-PA-10002751,Office Supplies,Paper,Xerox 1920,5.98,1,0,2.69
366,CA-2014-123344,9/24/2014,9/29/2014,Standard Class,JD-16060,Julia Dunbar,Consumer,United States,San Francisco,California,94109,West,OFF-ST-10001713,Office Supplies,Storage,"Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black",211.96,4,0,8.48
377,US-2016-134656,9/28/2016,10/1/2016,First Class,MM-18280,Muhammed MacIntyre,Corporate,United States,Quincy,Illinois,62301,Central,OFF-PA-10003039,Office Supplies,Paper,Xerox 1960,99.14,4,0.2,30.98
404,CA-2014-155208,4/16/2014,4/20/2014,Standard Class,SP-20650,Stephanie Phelps,Corporate,United States,Wilmington,North Carolina,28403,South,OFF-AR-10003478,Office Supplies,Art,"Avery Hi-Liter EverBold Pen Style Fluorescent Highlighters, 4/Pack",39.07,6,0.2,9.77
457,US-2014-110674,2/12/2014,2/18/2014,Standard Class,SC-20095,Sanjit Chand,Consumer,United States,Concord,California,94521,West,FUR-CH-10000225,Furniture,Chairs,"Global Geo Office Task Chair, Gray",129.57,2,0.2,-24.29
